_id,parcel_id,address,zip_code,owner,property_type,create_date,latest_inspection_result,latest_inspection_score,record_number,inspection_status,latitude,longitude,neighborhood,council_district,ward
42914,0042J00191000000,"1015 STANHOPE ST, Pittsburgh, 15204",15204,FITCH JAMES H,Condemned/Dead End Property,2020-12-03,Pass,0,0042J00191000000,Active,40.4567020444,-80.0631505688,Sheraden,2,20
42915,0035G00305000000,"730 HAMPSHIRE AVE, Pittsburgh, 15216",15216,"",Condemned/Dead End Property,2023-12-13,Pass,0,0035G00305000000,Active,40.4109539936,-80.0216498173,Beechview,4,19
42916,0014P00093000000,"232 ZARA ST, Pittsburgh, 15210",15210,USTVREA LLC,Condemned/Dead End Property,2023-04-28,Pass,0,0014P00093000000,Active,40.4156043812,-79.992144286,Knoxville,3,30
42917,0014P00093000000,"232 ZARA ST, Pittsburgh, 15210",15210,USTVREA LLC,Condemned/Dead End Property,2023-05-17,Fail,2,0014P00093000000,Active,40.4156043812,-79.992144286,Knoxville,3,30
42918,0010F00126000000,"2284 BEDFORD AVE, Pittsburgh, 15219",15219,GRIFFIN YVONNE,Condemned/Dead End Property,2025-02-14,Fail,2,0010F00126000000,Active,40.4490839895,-79.9756946272,Middle Hill,6,5
42919,0174B00130000000,No primary address specified,15208,MOORE MELVIN L,Condemned/Dead End Property,2023-03-06,Pass,0,0174B00130000000,Active,40.461470636,-79.8927890243,Homewood North,9,13
42920,0027B00318000000,"912 CHEROKEE ST, Pittsburgh, 15219",15219,URBAN REDEVELOPMENT AUTHORITY OFPITTSBURGH,Condemned/Dead End Property,2020-08-10,Fail,1,0027B00318000000,Active,40.450649312,-79.9589500923,Upper Hill,6,5
42921,0015D00222000000,"427 EDGEMONT ST, Pittsburgh, 15211",15211,BERN AARE L P,Condemned/Dead End Property,2022-03-17,Fail,2,0015D00222000000,Active,40.422614947,-79.9995264499,Mount Washington,3,18
42922,0015D00222000000,"427 EDGEMONT ST, Pittsburgh, 15211",15211,BERN AARE L P,Condemned/Dead End Property,2024-01-12,,,0015D00222000000,Active,40.422614947,-79.9995264499,Mount Washington,3,18
42923,0173N00305000000,"7035 UPLAND ST, Pittsburgh, 15208",15208,"",Condemned/Dead End Property,2024-03-20,Fail,2,0173N00305000000,Active,40.4630660232,-79.8979366378,Homewood North,9,13
42924,0173N00305000000,"7035 UPLAND ST, Pittsburgh, 15208",15208,"",Condemned/Dead End Property,2024-03-20,,,0173N00305000000,Active,40.4630660232,-79.8979366378,Homewood North,9,13
42925,0124P00079000A00,"6411 MEADOW ST, Pittsburgh, 15206",15206,CITY OF PITTSBURGH,Condemned/Dead End Property,2020-09-04,Fail,2,0124P00079000A00,Active,40.463178699,-79.9118458872,Larimer,9,12
42926,0010M00091000000,"522 FRANCIS ST, Pittsburgh, 15219",15219,GRANDMA ROSE'S PROPERTIES LLC,Condemned/Dead End Property,2023-03-09,Fail,1,0010M00091000000,Active,40.4478820182,-79.9676451445,Middle Hill,6,5
42927,0015G00245000000,"214 CLIMAX ST, Pittsburgh, 15210",15210,GARNER DENNIS T,Condemned/Dead End Property,2023-05-09,Fail,2,0015G00245000000,Active,40.41937205,-80.0036435122,Beltzhoover,3,18
42928,0028P00177000000,"3204 NIAGARA ST, Pittsburgh, 15213",15213,PITTSBURGH LIVING MATTERS LLC,Condemned/Dead End Property,2020-09-08,Pass,0,0028P00177000000,Active,40.4338698476,-79.9599892678,South Oakland,3,4
42929,0025M00112000000,"3041 PULAWSKI Way, Pittsburgh, 15219",15219,TELHO INC,Condemned/Dead End Property,2020-06-01,Fail,1,0025M00112000000,Active,40.4569512929,-79.9683557925,Polish Hill,7,6
42930,0011K00056000A00,"2134 5TH AVE, Pittsburgh, PA 15219",15219,NEWELL JOHN,Condemned/Dead End Property,2020-09-21,Fail,1,0011K00056000A00,Active,40.4378874725,-79.9746262243,Bluff,6,4
42931,0083F00178000000,"621 MELLON ST, Pittsburgh, 15206",15206,WHITE KYONA,Condemned/Dead End Property,2022-04-12,Fail,2,0083F00178000000,Active,40.4693755582,-79.9262930624,East Liberty,9,11
42932,0060P00187000000,No primary address specified,15210,STOKES SOLOMON & ANNIE,Condemned/Dead End Property,2024-06-13,Pass,0,0060P00187000000,Active,40.3946339703,-79.9927038222,Carrick,4,29
42933,0010H00325000000,No primary address specified,15219,JOINER PIERCE W JR,Condemned/Dead End Property,2020-11-04,Pass,0,0010H00325000000,Active,40.4502979769,-79.9674542949,Middle Hill,6,5
42934,0172R00003000000,No primary address specified,15206,COVENIA JAMES & ELSIE M,Condemned/Dead End Property,2025-03-07,Pass,0,0172R00003000000,Active,40.4723095782,-79.8898866956,Lincoln-Lemington-Belmar,9,12
42935,0076J00113000000,"3245 CENTRAL AVE, Pittsburgh, 15212",15212,CITY OF PITTSBURGH,Condemned/Dead End Property,2020-08-17,Fail,2,0076J00113000000,Active,40.4758345074,-80.029260955,Marshall-Shadeland,6,27
42936,0174H00253000000,No primary address specified,15221,BARRANTE ANTHONY A,Condemned/Dead End Property,2020-10-16,Pass,0,0174H00253000000,Active,40.4576419652,-79.8847444977,Homewood North,9,13
42937,0010K00145000000,"618 PERRY ST, Pittsburgh, 15219",15219,CENTRAL HILL APTS LLC,Condemned/Dead End Property,2025-12-10,Fail,1,0010K00145000000,Active,40.4463237289,-79.97745318,Middle Hill,6,5
42938,0010K00145000000,"618 PERRY ST, Pittsburgh, 15219",15219,CENTRAL HILL APTS LLC,Condemned/Dead End Property,2025-12-10,Fail,1,0010K00145000000,Active,40.4463237289,-79.97745318,Middle Hill,6,5
42939,0010K00145000000,"618 PERRY ST, Pittsburgh, 15219",15219,CENTRAL HILL APTS LLC,Condemned/Dead End Property,2025-12-10,Fail,1,0010K00145000000,Active,40.4463237289,-79.97745318,Middle Hill,6,5
42940,0010K00145000000,"618 PERRY ST, Pittsburgh, 15219",15219,CENTRAL HILL APTS LLC,Condemned/Dead End Property,2025-12-10,Fail,1,0010K00145000000,Active,40.4463237289,-79.97745318,Middle Hill,6,5
42941,0024F00176000000,"1141 SPRING GARDEN AVE, Pittsburgh, 15212",15212,"",Condemned/Dead End Property,2023-08-28,,,0024F00176000000,Active,40.4599758015,-79.9918059562,Spring Garden,1,24
42942,0024F00176000000,"1141 SPRING GARDEN AVE, Pittsburgh, 15212",15212,"",Condemned/Dead End Property,2026-01-29,Fail,1,0024F00176000000,Active,40.4599758015,-79.9918059562,Spring Garden,1,24
42943,0014E00285000000,No primary address specified,15210,CITY OF PITTSBURGH,Condemned/Dead End Property,2023-09-20,Pass,0,0014E00285000000,Active,40.4189380246,-79.9960113572,Allentown,3,18
42944,0042P00308000000,"2965 CHARTIERS AVE, Pittsburgh, 15204",15204,PALADINO JAMES,Condemned/Dead End Property,2020-08-27,Fail,2,0042P00308000000,Active,40.454009728,-80.0582898991,Sheraden,2,20
42945,0042P00308000000,"2965 CHARTIERS AVE, Pittsburgh, 15204",15204,PALADINO JAMES,Condemned/Dead End Property,2025-07-25,,,0042P00308000000,Active,40.454009728,-80.0582898991,Sheraden,2,20
42946,0094F00155000000,"245 SPENCER AVE, Pittsburgh, 15227",15227,BRICKLEY FAMILY LP,Condemned/Dead End Property,2020-10-13,Fail,2,0094F00155000000,Active,40.389704193,-79.9765475859,Carrick,4,29
42947,0033B00005000000,"339 MATHEWS AVE, Pittsburgh, 15210",15210,LAW DEBORAH L,Condemned/Dead End Property,2020-12-23,Fail,1,0033B00005000000,Active,40.4137107503,-79.9947277931,Knoxville,3,30
42948,0033B00005000000,"339 MATHEWS AVE, Pittsburgh, 15210",15210,LAW DEBORAH L,Condemned/Dead End Property,2024-01-17,,,0033B00005000000,Active,40.4137107503,-79.9947277931,Knoxville,3,30
42949,0011E00173000000,"223 LOMBARD ST, Pittsburgh, 15219",15219,W BEST PROPERTIES,Condemned/Dead End Property,2020-09-01,Fail,2,0011E00173000000,Active,40.4397551877,-79.9791096051,Crawford-Roberts,6,3
42950,0095D00352000100,"107 DUFFLAND ST, Pittsburgh, PA 15210",15210,THE RIVERS AUTO LLC,Condemned/Dead End Property,2020-06-16,Fail,2,0095D00352000100,Active,40.392471662,-79.9845617194,Carrick,4,29
42951,0014K00308000000,"214 CHARLES ST, Pittsburgh, 15210",15210,ALSTON DEAN R,Condemned/Dead End Property,2021-05-14,Fail,1,0014K00308000000,Active,40.4163677377,-79.9913978927,Knoxville,3,30
42952,0057G00226000000,No primary address specified,15207,POPE WILLIAM DAVID,Condemned/Dead End Property,2024-06-10,Pass,0,0057G00226000000,Active,40.401400921,-79.9395327129,Hazelwood,5,15
42953,0046K00111000000,"129 LAFAYETTE AVE, Pittsburgh, 15214",15214,CLARK SARA,Condemned/Dead End Property,2025-07-23,Fail,2,0046K00111000000,Active,40.4652526934,-80.0105650374,Perry South,6,26
42954,0046K00111000000,"129 LAFAYETTE AVE, Pittsburgh, 15214",15214,CLARK SARA,Condemned/Dead End Property,2026-01-20,Pass,0,0046K00111000000,Active,40.4652526934,-80.0105650374,Perry South,6,26
42955,0057D00050000000,No primary address specified,15207,ELASCHAT CAROLYN,Condemned/Dead End Property,2024-12-02,Pass,0,0057D00050000000,Active,40.4030416396,-79.9361090169,Hazelwood,5,15
42956,0014D00267000000,"2507 S 18TH ST, Pittsburgh, 15210",15203,REZBA ROLAND R,Condemned/Dead End Property,2020-08-20,Fail,1,0014D00267000000,Active,40.4215883105,-79.9838795506,South Side Slopes,3,17
42957,0009S00212000000,No primary address specified,15219,CLANSY ISIAH & PRISCILLA M,Condemned/Dead End Property,2020-10-19,Pass,0,0009S00212000000,Active,40.4449118434,-79.9830932302,Crawford-Roberts,6,3
42958,0174F00040000000,No primary address specified,15208,CATHIE HENRY JR & NELLIE MAE (W),Condemned/Dead End Property,2020-10-14,Pass,0,0174F00040000000,Active,40.4598199722,-79.8926828166,Homewood North,9,13
42959,0025H00107000000,"314 HARMAR ST, Pittsburgh, PA 15219",15219,AMBE RE LLC,Condemned/Dead End Property,2020-06-17,Pass,0,0025H00107000000,Active,40.4579374299,-79.9682626986,Polish Hill,7,6
42960,0004N00146000000,"287 WADE ST, Pittsburgh, 15211",15211,BURROWS MELANIE,Condemned/Dead End Property,2021-04-21,Fail,1,0004N00146000000,Active,40.4241669207,-80.0125925562,Mount Washington,2,19
42961,0004P00056000000,"80 NORTON ST, Pittsburgh, 15211",15211,RANKIN MALCOLM E,Condemned/Dead End Property,2020-09-03,Fail,2,0004P00056000000,Active,40.4258818624,-80.010529567,Mount Washington,2,19
42962,0004P00056000000,"80 NORTON ST, Pittsburgh, 15211",15211,RANKIN MALCOLM E,Condemned/Dead End Property,2024-10-04,Pass,0,0004P00056000000,Active,40.4258818624,-80.010529567,Mount Washington,2,19
42963,0083E00215000000,"438 N FAIRMOUNT ST, Pittsburgh, 15206",15206,CITY OF BRIDGES COMMUNITY LAND TRUST,Condemned/Dead End Property,2020-06-18,Pass,0,0083E00215000000,Active,40.4684522897,-79.9311215476,Garfield,9,11
42964,0056F00282000000,"172 MARSDEN ST, Pittsburgh, 15207",15207,PITTSBURGH LAND BANK,Condemned/Dead End Property,2020-09-03,Fail,1,0056F00282000000,Active,40.4106439335,-79.9421111004,Hazelwood,5,15
42965,0057C00374000000,No primary address specified,15207,KACZOROWSKI TED,Condemned/Dead End Property,2024-06-26,Pass,0,0057C00374000000,Active,40.403190137,-79.9371048959,Hazelwood,5,15
42966,0057B00193000000,"5280 2ND AVE, Pittsburgh, 15207",15207,WASSERMAN ELI J,Condemned/Dead End Property,2024-08-07,Fail,2,0057B00193000000,Active,40.4040125233,-79.9426909583,Hazelwood,5,15
42967,0042M00170000000,"2941 MERWYN AVE, Pittsburgh, 15204",15204,"",Condemned/Dead End Property,2022-11-10,Pass,0,0042M00170000000,Active,40.4564225292,-80.0516170319,Sheraden,2,20
42968,0174F00078000000,No primary address specified,15208,ZELLARS RAYMOND N,Condemned/Dead End Property,2024-02-02,Pass,0,0174F00078000000,Active,40.4594447088,-79.8928259557,Homewood North,9,13
42969,0027F00039000000,"3116 AVALON ST, Pittsburgh, 15219",15219,"",Condemned/Dead End Property,2021-08-24,Fail,1,0027F00039000000,Active,40.4482955896,-79.9615109232,Terrace Village,6,5
42970,0027F00039000000,"3116 AVALON ST, Pittsburgh, 15219",15219,"",Condemned/Dead End Property,2022-08-22,Pass,0,0027F00039000000,Active,40.4482955896,-79.9615109232,Terrace Village,6,5
42971,0083J00025000000,"305 N FAIRMOUNT ST, Pittsburgh, 15206",15206,SEALY PATRICIA A,Condemned/Dead End Property,2020-07-16,Fail,1,0083J00025000000,Active,40.466646566,-79.9316198623,Garfield,9,11
42972,0062F00006000000,"2336 VODELI ST, Pittsburgh, 15216",15216,CRAMP WILLIAM,Condemned/Dead End Property,2020-09-03,Fail,2,0062F00006000000,Active,40.4016128262,-80.0282977686,Beechview,4,19
42973,0062F00006000000,"2336 VODELI ST, Pittsburgh, 15216",15216,CRAMP WILLIAM,Condemned/Dead End Property,2022-08-08,,,0062F00006000000,Active,40.4016128262,-80.0282977686,Beechview,4,19
42974,0050H00290000000,No primary address specified,15224,PUGH EVERETT W,Condemned/Dead End Property,2022-12-02,Pass,0,0050H00290000000,Active,40.4681329657,-79.9363222224,Garfield,9,10
42975,0095F00007000000,"2122 FAIRLAND ST, Pittsburgh, 15210",15210,"",Condemned/Dead End Property,2024-02-05,Fail,2,0095F00007000000,Active,40.391095233,-79.995185133,Overbrook,4,32
42976,0056N00115000000,"5117 BLAIR ST, Pittsburgh, 15207",15207,CITY OF PITTSBURGH,Condemned/Dead End Property,2024-10-22,Fail,1,0056N00115000000,Active,40.4060258892,-79.9460924071,Hazelwood,5,15
42977,0174K00385000000,"702 STERRETT ST, Pittsburgh, 15208",15208,R T HOMEWOOD LLC,Condemned/Dead End Property,2022-04-08,Fail,2,0174K00385000000,Active,40.4552626231,-79.8945861944,Homewood South,9,13
42978,0174K00385000000,"702 STERRETT ST, Pittsburgh, 15208",15208,R T HOMEWOOD LLC,Condemned/Dead End Property,2024-05-28,Pass,0,0174K00385000000,Active,40.4552626231,-79.8945861944,Homewood South,9,13
42979,0055S00053000000,"1 TESLA ST, Pittsburgh, 15207",15207,"",Condemned/Dead End Property,2024-09-13,Fail,1,0055S00053000000,Active,40.4143479805,-79.9329521731,Hazelwood,5,15
42980,0055S00053000000,"1 TESLA ST, Pittsburgh, 15207",15207,"",Condemned/Dead End Property,2025-05-12,Pass,0,0055S00053000000,Active,40.4143479805,-79.9329521731,Hazelwood,5,15
42981,0124R00027000000,"6542 LADSON ST, Pittsburgh, 15206",15206,"",Condemned/Dead End Property,2020-09-03,Fail,3,0124R00027000000,Active,40.4627018879,-79.907576605,Larimer,9,12
42982,0124R00027000000,"6542 LADSON ST, Pittsburgh, 15206",15206,"",Condemned/Dead End Property,2024-03-01,Pass,0,0124R00027000000,Active,40.4627018879,-79.907576605,Larimer,9,12
42983,0046F00041000000,"28 KENWOOD AVE, Pittsburgh, 15214",15214,"",Condemned/Dead End Property,2022-11-02,Pass,0,0046F00041000000,Active,40.4694988535,-80.0097914723,Perry South,6,26
42984,0036R00136000000,"2703 BANKSVILLE AVE, Pittsburgh, PA 15216",15216,"",Condemned/Dead End Property,2020-08-21,Fail,2,0036R00136000000,Active,40.4057998362,-80.0382383775,Banksville,2,20
42985,0174A00193000000,"7050 KEDRON ST, Pittsburgh, 15208",15208,GALLAGHER JANICE L & GARFIELD DAVID MEACHEM,Condemned/Dead End Property,2025-08-05,Pass,0,0174A00193000000,Active,40.4613279874,-79.8980960314,Homewood North,9,13
42986,0174N00146000000,"538 CLAWSON ST, Pittsburgh, 15208",15208,"",Condemned/Dead End Property,2021-05-03,Fail,2,0174N00146000000,Active,40.4541619991,-79.8986369537,Homewood South,9,13
42987,0033A00240000000,"437 PARKLOW ST, Pittsburgh, 15210",15210,SMITH PHILLIP D JR,Condemned/Dead End Property,2021-10-14,Fail,2,0033A00240000000,Active,40.4132217612,-79.9967541837,Knoxville,3,30
42988,0011K00271000300,"2013 BLVD OF THE ALLIES, Pittsburgh, PA 15219",15219,PITTSBURGH LAND BANK,Condemned/Dead End Property,2020-09-03,Fail,2,0011K00271000300,Active,40.4364452857,-79.9773988286,Bluff,6,1
42989,0060S00216000000,"239 E AGNEW AVE, Pittsburgh, 15210",15210,NEWCASTLE PROPERTY GROUP LLC,Condemned/Dead End Property,2020-11-20,Fail,1,0060S00216000000,Active,40.396578283,-79.9829743526,Carrick,4,29
42990,0060S00216000000,"239 E AGNEW AVE, Pittsburgh, 15210",15210,NEWCASTLE PROPERTY GROUP LLC,Condemned/Dead End Property,2025-11-20,Fail,3,0060S00216000000,Active,40.396578283,-79.9829743526,Carrick,4,29
42991,0046N00364000000,"609 RIDGEWOOD ST, Pittsburgh, 15214",15214,CITY OF PITTSBURGH,Condemned/Dead End Property,2020-09-09,Fail,3,0046N00364000000,Active,40.4625261534,-80.0158026778,Perry South,6,25
42992,0014J00276000000,"437 CHALFONT ST, Pittsburgh, 15210",15210,DUNCAN JASMINE,Condemned/Dead End Property,2020-11-30,Fail,2,0014J00276000000,Active,40.4169038175,-79.9989170401,Beltzhoover,3,18
42993,0077P00210000000,No primary address specified,15214,RUCKER RAYMOND H & MARVA (W),Condemned/Dead End Property,2022-09-09,Pass,0,0077P00210000000,Active,40.474205585,-80.0098967722,Perry South,6,26
42994,0174F00270000000,"7324 RACE ST, Pittsburgh, 15208",15208,CITY OF PITTSBURGH,Condemned/Dead End Property,2020-09-08,Fail,2,0174F00270000000,Active,40.4578499318,-79.8922569781,Homewood North,9,13
42995,0115P00128000000,"722 WOODS RUN AVE, Pittsburgh, 15212",15212,NJDP LLC,Condemned/Dead End Property,2022-09-16,Fail,1,0115P00128000000,Active,40.4821125994,-80.0260705644,Brighton Heights,1,27
42996,0049J00191000B00,"246 ATER Way, Pittsburgh, PA 15201",15201,LEWISBROTHERS0412 LLC,Condemned/Dead End Property,2021-10-18,Fail,2,0049J00191000B00,Active,40.4653104247,-79.9631190321,Lower Lawrenceville,7,6
42997,0014R00065000000,"130 ZARA ST, Pittsburgh, 15210",15210,"",Condemned/Dead End Property,2024-03-11,Fail,2,0014R00065000000,Active,40.4156735202,-79.9896212012,Knoxville,3,30
42998,0010S00005000000,No primary address specified,15219,ROBINSON DIANA,Condemned/Dead End Property,2020-08-24,Fail,1,0010S00005000000,Active,40.445272832,-79.970227173,Terrace Village,6,5
42999,0032F00331000000,No primary address specified,15210,ARRINGTON BURNADINE D,Condemned/Dead End Property,2022-12-07,,,0032F00331000000,Active,40.4103832626,-79.9754983909,St. Clair,3,16
43000,0056C00085000000,"415 FLOWERS AVE, Pittsburgh, 15207",15207,CITY OF PITTSBURGH,Condemned/Dead End Property,2020-09-11,Fail,2,0056C00085000000,Active,40.4122318284,-79.9372836469,Hazelwood,5,15
43001,0046N00065000000,No primary address specified,15214,VETERANS AFFAIRS ADMINISTRATION,Condemned/Dead End Property,2023-10-11,Fail,1,0046N00065000000,Active,40.4644944442,-80.0146835119,Perry South,6,25
43002,0015R00265000000,No primary address specified,15210,MCKNIGHT YARNELL R SR,Condemned/Dead End Property,2023-09-01,,,0015R00265000000,Active,40.4161462415,-80.0046056493,Beltzhoover,3,18
43003,0184E00067000000,"1210 MIFFLIN RD, Pittsburgh, 15207",15207,HARVARD BRETT,Condemned/Dead End Property,2024-08-23,Fail,1,0184E00067000000,Active,40.3712913552,-79.9159098025,Lincoln Place,5,31
43004,0013P00052000000,"309 STERLING ST, Pittsburgh, 15210",15210,SABARESE RONALD,Condemned/Dead End Property,2020-09-09,Fail,2,0013P00052000000,Active,40.414501328,-79.9747184931,Arlington,3,16
43005,0124G00188000000,No primary address specified,15206,PAOLINA JOHN & JEAN,Condemned/Dead End Property,2022-08-30,Pass,0,0124G00188000000,Active,40.4691218526,-79.9071779231,Lincoln-Lemington-Belmar,9,12
43006,0033J00164000000,"117 SCHUCHERT ST, Pittsburgh, 15210",15210,GARDNER BERNARD A & DONNA S (W),Condemned/Dead End Property,2021-07-08,Fail,2,0033J00164000000,Active,40.4081846725,-79.9974214601,Bon Air,4,18
43007,0185S00313000000,"5704 COX AVE, Pittsburgh, 15207",15207,SCHAMING SHEENA,Condemned/Dead End Property,2025-05-29,Fail,1,0185S00313000000,Active,40.366962624,-79.917757197,Lincoln Place,5,31
43008,0060H00300000000,"206 ALRIES ST, Pittsburgh, PA 15210",15210,OAKRIDGE ASSET PROPERTY TRUST,Condemned/Dead End Property,2020-08-20,Fail,2,0060H00300000000,Active,40.3994332651,-79.985306945,Carrick,4,29
43009,0024J00426000000,"834 PERALTA ST, Pittsburgh, PA 15212",15212,834 PERALTA LLC,Condemned/Dead End Property,2023-04-17,Fail,1,0024J00426000000,Active,40.4557433093,-79.9958849967,East Allegheny,1,23
43010,0042C00137000000,No primary address specified,15204,MATTHEWS DAVID & MARGARET A (W),Condemned/Dead End Property,2022-10-10,Pass,0,0042C00137000000,Active,40.4620457278,-80.054506604,Esplen,2,20
43011,0014G00271000000,"952 MANTON Way, Pittsburgh, 15210",15210,EQUITY TRUST COMPANY,Condemned/Dead End Property,2024-02-21,,,0014G00271000000,Active,40.4211259415,-79.990036205,Allentown,3,18
43012,0014K00040000000,"846 LILLIAN ST, Pittsburgh, 15210",15210,"",Condemned/Dead End Property,2020-09-03,Fail,2,0014K00040000000,Active,40.4185931708,-79.9918494359,Allentown,3,18
43013,0014K00040000000,"846 LILLIAN ST, Pittsburgh, 15210",15210,"",Condemned/Dead End Property,2025-02-28,Fail,1,0014K00040000000,Active,40.4185931708,-79.9918494359,Allentown,3,18
43014,0091E00023000000,"297 BALDWIN RD, Pittsburgh, 15207",15207,FALCE KENNETH A & EDWARD A STARK,Condemned/Dead End Property,2021-10-11,Fail,1,0091E00023000000,Active,40.3898364596,-79.9325783677,Hays,5,31
43015,0091E00023000000,"297 BALDWIN RD, Pittsburgh, 15207",15207,FALCE KENNETH A & EDWARD A STARK,Condemned/Dead End Property,2025-01-24,Fail,1,0091E00023000000,Active,40.3898364596,-79.9325783677,Hays,5,31
43016,0024D00135000000,"1516 VALENTINE ST, Pittsburgh, 15212",15212,5 BORO MAINTENANCE ELECTRICAL &CONSTRUCTION LLC,Condemned/Dead End Property,2023-03-03,,,0024D00135000000,Active,40.4620379653,-79.9850379195,Troy Hill,1,24
43017,0024D00135000000,"1516 VALENTINE ST, Pittsburgh, 15212",15212,5 BORO MAINTENANCE ELECTRICAL &CONSTRUCTION LLC,Condemned/Dead End Property,2023-03-03,Fail,1,0024D00135000000,Active,40.4620379653,-79.9850379195,Troy Hill,1,24
43018,0014K00113000000,"308 ORCHARD PL, Pittsburgh, 15210",15210,"",Condemned/Dead End Property,2023-11-06,Fail,3,0014K00113000000,Active,40.4177864607,-79.9936814997,Knoxville,3,30
43019,0010L00156000000,"2405 WYLIE AVE, Pittsburgh, 15219",15219,BUFORD GROVER C,Condemned/Dead End Property,2024-03-22,Fail,2,0010L00156000000,Active,40.4476550531,-79.9732033041,Middle Hill,6,5
43020,0010D00250000000,"647 HOLLACE ST, Pittsburgh, 15219",15219,CLAYBROOKS RONNIE & JACQUELINE (W),Condemned/Dead End Property,2020-07-23,Fail,2,0010D00250000000,Active,40.4509654233,-79.9682785245,Middle Hill,6,5
43021,0010D00250000000,"647 HOLLACE ST, Pittsburgh, 15219",15219,CLAYBROOKS RONNIE & JACQUELINE (W),Condemned/Dead End Property,2021-02-18,Fail,1,0010D00250000000,Active,40.4509654233,-79.9682785245,Middle Hill,6,5
43022,0121K00313000000,"6925 GREENWOOD ST, Pittsburgh, PA 15206",15206,RESIDENTIAL CREDIT OPPORTUNITIES TRUSTVII-A,Condemned/Dead End Property,2024-01-09,Fail,1,0121K00313000000,Active,40.4850371842,-79.9249222635,Morningside,7,10
43023,0014E00157000000,"527 INDUSTRY ST, Pittsburgh, 15210",15210,"",Condemned/Dead End Property,2020-09-01,Fail,1,0014E00157000000,Active,40.4209548941,-79.9978806182,Beltzhoover,3,18
43024,0014E00157000000,"527 INDUSTRY ST, Pittsburgh, 15210",15210,"",Condemned/Dead End Property,2023-10-06,,,0014E00157000000,Active,40.4209548941,-79.9978806182,Beltzhoover,3,18
43025,0027B00002000000,No primary address specified,15219,GRAVELY JAMES W,Condemned/Dead End Property,2021-02-17,Pass,0,0027B00002000000,Active,40.4527568734,-79.9579146534,Upper Hill,6,5
43026,0026D00010000000,No primary address specified,15224,TIERNO FRANK,Condemned/Dead End Property,2023-02-15,Fail,2,0026D00010000000,Active,40.4616931243,-79.9534291316,Bloomfield,7,8
